Gene	Category	DAN	pDNA
ACSBG1	Other	0.571712548227956	0.488750998301361
ACSBG2	Other	0.823417843494654	0.869748003711369
ACSF2	Other	0.439713465297733	0.517581645467452
ACSF3	Other	0.273669947692464	0.130468924482895
ACSL1	Other	0.573749188132821	0.363869376704145
ACSL3	Other	-0.00953627091112978	0.276089855604084
ACSL4	Other	0.350877517116451	0.394281970082314
ACSL5	Other	0.76891145197403	0.449611902587946
ACSL6	Other	0.134139565390564	0.191135780187277
ACSM1	Other	0.231467180130567	0.249086817057307
ACSM2A	Other	0.591822161571996	0.786645465517364
ACSM2B	Other	0.692708907925163	0.611488768585431
ACSM3	Other	0.332715852039441	0.385814865688844
ACSM4	Other	-0.011005397908057	-0.162080070742414
ACSM5	Other	-0.367034074313743	-0.305785632695747
ACSM6	Other	-0.0358135908428332	-0.149589973958551
ACSS1	Other	0.526179286141524	0.294135186124507
ACSS2	Other	0.240361932652076	-0.0895792830538479
ACSS3	Other	0.561804832136416	0.371780356236771
ACTA1	Other	-0.428206003112023	-0.45057022764026
ACTA2	Other	0.601575186941268	0.683097126054409
ACTB	Other	-1.04680026367984	0.00891705408904363
ACTBL2	Other	0.38015807617536	0.219987158083627
ACTC1	Other	-0.234993510477648	-0.270620223825035
ACTG1	Other	-0.0101849511862615	0.189577178396171
ACTG2	Other	0.128995192251162	-0.015159421470753
ACTL10	Other	0.827959715491304	0.661333806640778
ACTL6A	Other	-0.414848113489517	0.637266987639927
ACTL6B	Other	0.315203565212562	0.218755484364721
ACTL7A	Nonessential	-0.0563608656684482	-0.00231310648407962
ACTL7B	Nonessential	-0.481245857238818	-0.532786756353102
ACTL8	Other	-0.326552084592357	-0.392196198323652
ACTL9	Nonessential	0.187841255555932	0.0105449614162087
ACTN1	Other	0.0464200712561526	-0.0973110822019377
ACTN2	Other	-0.437156824995368	-0.505981689180483
ACTN4	Other	0.537015736549602	0.559995633262335
ACTR10	Other	-0.100134380400946	0.440472172026497
ACTR1A	Other	0.48833380308984	0.56930733535961
ACTR1B	Other	0.310150334076405	0.41570576380781
ACTR2	Other	-1.57870157203756	-0.262341110435321
ACTR3	Other	0.611099886433623	1.15339234184508
ACTR3B	Other	0.324362221051459	0.147194515271
ACTR3C	Other	0.0482357901956798	0.142645364550465
ACTR5	Other	-0.663939177009913	0.221738924452367
ACTR6	Other	-0.29220339123403	0.512810033377671
ACTR8	Other	-0.371542752872524	0.639448178596503
ACTRT1	Nonessential	0.143033893885645	0.0862425858349587
ACTRT2	Other	0.320266027255874	0.0977201913066559
ACTRT3	Other	0.190311693709823	0.0449541493360867
ACVR1	Other	0.490132712796751	0.376418341989431
ACVR1B	Other	0.43914394557276	0.38877850075938
ACVR1C	Other	-0.170046619636067	-0.244153496808547
ACVR2A	Other	0.299781217798387	0.177955798860794
ACVR2B	Other	0.180902287913532	-0.175130470216872
ACVRL1	Other	0.388755888788897	0.220329057191835
ACY1	Other	0.291534799165896	0.192266249110377
ACY3	Other	0.388487050967618	0.155296179937168
ACYP1	Other	0.709190629073297	0.7879682228592
ACYP2	Other	0.439620738705353	0.242731370062952
ADA	Other	1.10694577926645	0.882025806436217
ADAD1	Nonessential	1.0152208220595	1.03462326885519
ADAD2	Other	0.0860749731565404	-0.0762484675506378
ADAL	Other	0.831356337944298	0.968365647845912
ADAM10	Other	0.415183542871222	0.34865162001684
ADAM11	Other	0.690559210263966	0.886431507043588
ADAM12	Other	0.2057365897702	0.0128411884511324
ADAM15	Other	0.377317622626632	0.414663912080502
ADAM17	Other	0.365117048581429	0.158045298248443
ADAM18	Nonessential	-0.505722557436718	-0.350393637720055
ADAM19	Other	0.295929468950936	0.0274035835343784
ADAM2	Nonessential	0.508081676396955	0.795978314540035
ADAM20	Nonessential	0.176138558490988	0.0384140107409689
ADAM21	Other	0.592420858032722	0.552466307038275
ADAM22	Other	0.396736110102267	0.298055789962492
ADAM23	Other	0.905598076854167	0.926481855744814
ADAM28	Other	0.562243449385397	0.339251636706831
ADAM29	Other	0.826452804890574	0.47874109443422
ADAM30	Nonessential	-0.242701361730118	-0.102133758511938
ADAM32	Other	0.365237791209614	0.300732867152208
ADAM33	Other	-0.218842841569006	-0.11311273178357
ADAM7	Other	0.342973785455998	0.289994495033538
ADAM8	Other	-0.621366485869463	-0.88842909028095
ADAM9	Other	0.513315300162441	0.347318062761965
