Gene	Category	DAN-G-311Cas9 Rep A p6	DAN-G-311Cas9 Rep B p6	DAN-G-311Cas9 Rep C p6	DAN-G-311Cas9 Rep D p6
ABL1	Other	0.166741172380441	0.035544243479421	0.0623272973337399	0.0215047511342021
ABL2	Other	0.290747440370884	0.21059767659154	0.372540597237784	0.231077110035523
ABLIM1	Other	0.0367152586039331	0.0822370156850089	0.0599482633091319	-0.0462256629459087
ABLIM2	Other	-0.000139816869610121	0.320473574048631	0.172929210544779	0.159538664144219
ABLIM3	Other	0.24065639073734	0.210617844464768	0.0967463608567177	0.154578647920698
ABR	Other	0.282725563245404	-0.170681889518962	0.0847685852929781	0.230375379729343
ABRA	Other	0.119425600412733	0.217396620763446	0.172912371539826	-0.0255675718107552
ABRACL	Other	0.207870571232995	0.128668083064057	0.289868780065596	0.285561564184761
ABT1	Other	-0.49737083461369	-0.355932659909131	-0.436073572047605	-0.633835297697886
ABTB1	Other	0.190378016747173	0.0662881594614445	0.162863537297701	0.197302227949416
ABTB2	Other	0.253412550681916	0.0802734007135449	0.163424701235063	0.293777209411962
ACAA1	Other	0.258054647999955	0.232919319510293	0.191471559828825	0.148889802289935
ACAA2	Other	0.0631355764678563	0.0481599894300972	0.0202576036114632	-0.0411089008870877
ACACA	Other	-0.131377082595829	-0.0332942280887494	-0.184741952334712	-0.0789872669761895
ACACB	Other	-0.0613815893922236	0.0563216400997912	0.0717423082271971	0.0491720631791155
ACAD10	Other	0.271714748480536	0.151664161295608	0.0550819164561649	0.184176984278617
ACAD11	Other	-0.0422088336485031	0.00569503152134865	0.00951440264962722	-0.106579021501339
ACAD8	Other	0.110327607019212	0.280907442337385	0.300399536960873	0.332265552877746
ACAD9	Other	-0.0923086426524582	-0.0774790457637914	-0.0761546307173962	-0.176980932260298
ACADL	Other	0.090182822540061	0.247144041289834	0.17934572122244	0.262895833037671
ACADM	Other	0.00734969100835453	0.003766420054022	0.0264042055073376	0.0852475941864403
ACADS	Other	0.184273134333497	0.0620719952311268	0.116635870798848	0.0698754962758612
ACADSB	Other	-0.0398765683034303	-0.0294404863092504	-0.192851927082223	-0.0380769108743304
ACADVL	Other	0.178986701415523	0.113262291715315	-0.0562842797552988	0.250843022608689
ACAN	Other	-0.0818987592160948	0.149844335947744	0.0727295152313481	0.125668646526482
ACAP1	Other	-0.158233839995742	-0.111849034677651	-0.150814264891502	0.0146661737690331
ACAP2	Other	0.120880951919625	-0.0409734140569311	-0.0186874640032567	-0.0280765326216469
ACAP3	Other	0.191157335533082	0.195126822986094	0.0574802277486791	0.134172407810297
ACAT1	Other	0.341347120734055	0.288702810268238	0.415779053103375	0.238662306882003
ACAT2	Other	0.381455573628819	0.324923564621056	0.350393441744782	0.408480168142252
ACBD3	Other	0.130888552129895	-0.0306069574446914	-0.124097621578203	0.165511364818701
ACBD4	Other	-0.122023422553386	-0.0630230925773266	0.00691786055056914	-0.0583239752845217
ACBD5	Other	-0.122111215755504	-0.0455660885134981	-0.0106406044939118	0.00712933239656793
ACBD6	Other	0.182543335392074	0.227698785480686	0.334335499015299	0.267939701232693
ACBD7	Other	0.0945383578844552	0.095730045491636	0.122335315111869	-0.0154803083101835
ACCS	Other	0.114293872942236	0.219615430788818	0.339578140847369	0.344709555576974
ACCSL	Nonessential	0.0153425792623528	-0.0402201092242721	0.0749839806442683	0.297962106675581
ACD	Other	-0.212910831525751	0.133486261149508	0.105509396374834	0.0871897156164645
ACE	Other	-0.277194273750181	-0.152524324747962	-0.108691941773049	-0.327387403435308
ACE2	Other	0.0417476827617689	0.212185333478995	0.119715917371224	-0.0472670627926569
ACER1	Other	0.0988437162181723	0.125218041146317	0.135946561481787	0.0959245517333258
ACER2	Other	0.183499767895159	0.160889327878905	0.230497228754065	0.141512938066836
ACER3	Other	0.152459770915127	0.140638755139705	0.288657699920032	0.171293453299497
ACHE	Other	-0.140272622026362	-0.190357030821764	-0.15293697654255	-0.182877566812817
ACIN1	Other	-0.602209981918058	-0.489357943853283	-0.572427262637487	-0.540276279111
ACKR1	Other	0.110582658025503	0.118767450199902	0.09030563527515	0.0930774101505423
ACKR2	Other	0.195791066877489	0.276305362728387	0.17432270057382	0.123931895070117
ACKR3	Other	0.318572221225912	0.133086965402846	0.252932184522482	0.15552151661489
ACKR4	Other	-0.086155561870992	-0.100656004773585	-0.242615316618688	-0.230313498042404
ACLY	Other	0.197653892963946	0.219615733692418	0.0845441793082947	0.240154974457149
ACMSD	Other	0.259361871939639	0.266767136024861	0.173678857090783	0.116926617864355
ACN9	Other	0.0308365252900069	0.112166668476084	0.141810237478799	0.193331794878055
ACO1	Other	0.190988865046095	0.111354691034948	0.125791158500175	0.288284214434753
ACO2	Other	-0.200453770625995	-0.197688624612983	-0.123086198457508	-0.173346671168561
ACOT1	Other	0.25479930648475	0.0631027225692773	0.326487149685998	0.158354226431353
ACOT11	Other	0.0548838060027733	0.0312312040382634	0.155912351296149	0.0296756113581777
ACOT12	Other	-0.46036425699771	-0.324954096451127	-0.451551443266322	-0.476465069762448
ACOT13	Other	0.317012689822615	0.0183821887244489	0.133852921422925	0.1379686102561
ACOT2	Other	0.122707549960695	0.313783821289937	-0.0571276107764858	0.127931017365566
ACOT4	Other	-0.175290769955318	0.0146201276302179	-0.0631326092481233	0.0129478665354008
ACOT6	Other	-0.109000087905495	-0.17906798896517	-0.154978823066936	-0.0127463239517366
ACOT7	Other	0.234274640883706	0.108509087122195	0.194256859011079	0.29898990436931
ACOT8	Other	0.137309949492707	0.0748982634212309	0.151437129142749	-0.0291879206233473
ACOT9	Other	0.186009907555673	0.262830882092366	0.145217096667541	0.18321589491065
ACOX1	Other	-0.0952968409045796	-0.0249101270014109	-0.166192912230947	-0.248709504254525
ACOX2	Other	-0.203745001805913	0.0343224962348904	-0.0489420177337345	0.0618091649848356
ACOX3	Other	-0.0681282268867773	0.156716386783318	-0.0248293524221646	-0.0689108287649916
ACOXL	Other	-0.085410061959913	-0.041907702363026	-0.173136497552529	-0.0827309008910146
ACP1	Other	0.514704332828304	0.407694344054403	0.350443525199288	0.423547988446542
ACP2	Other	0.0920429396215539	-0.04237356214066	0.0399284897676229	0.352806616666033
ACP5	Other	0.152996281707044	0.116235914435036	0.165705154831625	0.196775043883845
ACP6	Other	-0.0102454127633227	0.0220808900499626	-0.14549652639001	0.0588639044828354
ACPP	Other	0.109985071947206	0.138368780344974	0.0476723901367436	0.157948223925623
ACPT	Other	0.111203792523985	0.363854794706929	0.120061505506663	0.133873940384155
ACR	Other	0.161903767356848	0.224753038942654	0.0705847766535119	0.234282631850307
ACRBP	Other	0.152213358628667	0.176427111923437	0.0421703623842792	0.164383472281815
ACRC	Other	0.0860325655541634	-0.000878773578254055	0.102115903627445	-0.0243539653760774
ACRV1	Other	0.146701641299894	0.220808746110604	0.165291973952201	0.207474520790766
ACSBG1	Other	0.0986561020468451	0.123417481139434	0.0867363882139764	0.0230362283061255
ACSBG2	Other	-0.069441988395565	-0.050331234261189	-0.0354642303048316	-0.0300831879052722
ACSF2	Other	-0.0128269777849087	-0.195855667248269	-0.0979392711713259	-0.00485080447437258
ACSF3	Other	0.193498730405477	0.102646492550292	0.00455516775731046	0.272103702125196
