Gene	Category	DAN-G-311Cas9 Rep A p6	DAN-G-311Cas9 Rep B p6	DAN-G-311Cas9 Rep C p6	DAN-G-311Cas9 Rep D p6	pDNA_0	pDNA_2
ABHD16A	Other	0.46166095726008	0.200525937383797	0.338440213040216	0.2400850968765	0.314089854161039	0.447819643592171
ABHD16B	Other	-0.19785308430367	-0.154298325549201	0.0564934310391078	0.0433850241823465	-0.206090158403745	-0.0777744248041966
ABHD17A	Other	-0.211095242959037	-0.294294151060678	-0.32850171414885	-0.266353245256902	0.0356477636465174	0.0550983750435676
ABHD17B	Other	0.950154834356975	0.957281783604466	0.844685967483412	0.876729996264761	0.753746912064861	0.775068362581959
ABHD17C	Other	-0.0456442922212728	-0.0872586721132283	-0.105174479402257	0.0315984573431256	-0.0892112418315683	-0.402228453476996
ABHD2	Other	-0.0933988476936318	-0.196471072853932	-0.0499231697511078	-0.0245547494578885	-0.0948489095055397	0.062976621263756
ABHD3	Other	0.65717151920688	0.663076143586104	0.746254851091299	0.83848510185953	0.671724561136396	0.726671847727201
ABHD4	Other	0.463012514527195	0.465061699148177	0.547224090175633	0.564819653045618	0.483599905938429	0.37539020746909
ABHD5	Other	1.68964469791941	1.71586226763956	1.71887566785567	1.59309799865932	1.62772542151644	1.50002612384972
ABHD6	Other	1.1833547314865	1.27487421007948	1.13362503287053	1.1689961477678	1.05836784411694	1.07085806025671
ABHD8	Other	-0.112392984442383	-0.325255445685449	-0.180917359998431	-0.235687398027269	-0.227841200995757	-0.176436050010852
ABI1	Other	-0.168895345520019	-0.248677492536574	-0.0480282688230408	-0.12325809778517	0.349110470182899	0.323627173726478
ABI2	Other	0.598659979616875	0.53123079504933	0.704007876008485	0.689859090800462	0.406802919073893	0.508587666805667
ABI3	Other	0.183909211723269	0.0547384123675672	0.180512548243314	0.0154560185521476	0.10208794712437	0.142979715483871
ABI3BP	Other	0.240487274010292	0.0275944263755018	0.159038459897779	0.205699484342971	0.0110001766739111	-0.0622660310901936
ABL1	Other	-0.316224185283606	-0.447421114184626	-0.420638060330307	-0.461460606529845	-0.499467186125695	-0.466463529202399
ABL2	Other	1.03024294741172	0.950093183632376	1.11203610427862	0.97057261707636	0.780387546283618	0.698603467798055
ABLIM1	Other	-0.10290588763035	-0.057384130549274	-0.079672882925151	-0.185846809180192	-0.0964826421446191	-0.182759650323947
ABLIM2	Other	-0.308291183743761	0.0123222071744801	-0.135222156329372	-0.148612702729932	-0.314327069887121	-0.301975663861181
ABLIM3	Other	0.63633272164031	0.606294175367738	0.492422691759687	0.550254978823668	0.407393008075273	0.383959653730667
ABR	Other	-0.213395680991754	-0.666803133756121	-0.41135265894418	-0.265745864507816	-0.513607528668068	-0.478634959806248
ABRA	Other	-0.423341081081995	-0.325370060731283	-0.369854309954903	-0.568334253305484	-0.59406825573407	-0.491465107255387
ABRACL	Other	0.513704222767912	0.434501734598975	0.595702431600514	0.591395215719679	0.293383287447197	0.318284015622639
ABT1	Other	-0.594793777905384	-0.453355603200825	-0.533496515339299	-0.73125824098958	-0.175352576168609	-0.0194933104147795
ABTB1	Other	0.443124290310722	0.319034433024993	0.41560981086125	0.450048501512965	0.24915428078465	0.256338266342447
ABTB2	Other	-0.0697113496395178	-0.242850499607889	-0.159699199086371	-0.0293466909094713	-0.250366731733451	-0.395881068909416
ACAA1	Other	-0.289866657801888	-0.31500198629155	-0.356449745973017	-0.399031503511908	-0.432964928541976	-0.662877683061709
ACAA2	Other	1.08243904029514	1.06746345325738	1.03956106743875	0.978194562940195	1.03182848452402	1.00677844313054
ACACA	Other	-0.297839511987338	-0.199756657480259	-0.351204381726221	-0.245449696367699	-0.125469929655213	-0.207454929127805
ACACB	Other	1.17309392258446	1.29079715207647	1.30621782020388	1.2836475751558	1.2595359507117	1.20941507324167
ACAD10	Other	0.166849362831048	0.0467987756461191	-0.0497834691933237	0.0793115986291284	-0.0344368842571225	-0.175293887041855
ACAD11	Other	0.509094961562886	0.556998826732738	0.560818197861017	0.44472477371005	0.502095102973375	0.600512487449404
ACAD8	Other	0.394142771011914	0.564722606330087	0.584214700953575	0.616080716870448	0.275203075516252	0.292427252469152
ACAD9	Other	-0.192435032545053	-0.177605435656386	-0.176281020609991	-0.277107322152893	-0.192359197032487	-0.00789358275270235
ACADL	Other	0.0176971537072224	0.174658372456995	0.106860052389602	0.190410164204833	-0.00726730847195623	-0.137704029193721
ACADM	Other	0.162907731746239	0.159324460791906	0.181962246245222	0.240805634924324	0.129933173331534	0.181182908144235
ACADS	Other	0.348970358955812	0.226769219853442	0.281333095421164	0.234572720898177	0.190152950198971	0.13924149904566
ACADSB	Other	0.515804719288278	0.526240801282458	0.362829360509485	0.517604376717378	0.472477591467685	0.638884983715733
ACADVL	Other	0.333236416739988	0.26751200703978	0.0979654355691657	0.405092737933153	0.176450097323213	0.132049333325716
ACAN	Other	-0.095618008308185	0.136125086855654	0.0590102661392579	0.111949397434392	-0.0905170963851827	0.0630785982010024
ACAP1	Other	-0.0228175599120264	0.0235672454060642	-0.015397984807786	0.150082453852749	0.226974501664429	0.0438580585030025
ACAP2	Other	0.348758956574891	0.186904590598335	0.20919054065201	0.199801472033619	0.230529503905192	0.22522650540534
ACAP3	Other	0.856045708651576	0.860015196104589	0.722368600867173	0.799060780928792	0.678073009513473	0.651703736723516
ACAT1	Other	0.940729876723944	0.888085566258128	1.01516180909326	0.838045062871893	0.688905154470689	0.509860357509089
ACAT2	Other	0.893159787305269	0.836627778297506	0.862097655421232	0.920184381818702	0.504257507935173	0.519150919417727
ACBD3	Other	-0.028925876219765	-0.190421385794351	-0.283912049927863	0.00569693646904115	-0.182834361896989	-0.136794494802331
ACBD4	Other	-0.0472913309184164	0.0117089990576434	0.0816499521855391	0.0164081163504483	0.106876325529055	0.0425878577408851
ACBD5	Other	-0.485601009134927	-0.409055881892921	-0.374130397873335	-0.356360460982855	-0.412781689264285	-0.314197897494561
ACBD6	Other	0.881675686390271	0.926831136478882	1.0334678500135	0.96707205223089	0.755631360009182	0.642633341987211
ACBD7	Other	0.631286799505854	0.632478487113035	0.659083756733267	0.521268133311215	0.521877277759839	0.551619605482958
ACCS	Other	0.0343821640953841	0.139703721941967	0.259666432000517	0.264797846730123	-0.0263871553404117	-0.133436262353292
ACCSL	Nonessential	0.00403073816108275	-0.0515319503255421	0.0636721395429983	0.286650265574311	0.0371636389185534	-0.0597873211210934
ACD	Other	-0.591866103863022	-0.245469011187762	-0.273445875962437	-0.291765556720806	-0.371236064258059	-0.386674480416481
ACE	Other	-0.594004780942674	-0.469334831940455	-0.425502448965542	-0.644197910627801	-0.368887982989209	-0.264733031395777
ACE2	Other	0.535313540271312	0.705751190988538	0.613281774880767	0.446298794716886	0.508679389409138	0.478452325609948
ACER1	Other	0.515027109960877	0.541401434889022	0.552129955224492	0.512107945476031	0.35765169784039	0.47471508964502
ACER2	Other	0.0908620069110188	0.0682515668947646	0.137859467769924	0.0488751770826954	-0.110409433503431	-0.0748660884648497
ACER3	Other	0.58215678844402	0.570335772668598	0.718354717448925	0.600990470828391	0.339808606653759	0.519585428404027
ACHE	Other	-0.741073056526064	-0.791157465321466	-0.753737411042252	-0.783678001312519	-0.639119380718073	-0.562481488281332
ACIN1	Other	-0.383360665502778	-0.270508627438003	-0.353577946222207	-0.32142696269572	0.211801569713166	0.225897063117394
ACKR1	Other	0.638783914286735	0.646968706461134	0.618506891536382	0.621278666411774	0.551407221624361	0.504995290898103
ACKR2	Other	1.13399714277949	1.21451143863039	1.11252877647582	1.06213797097212	0.962155751285389	0.914256400518608
ACKR3	Other	0.593864447406152	0.408379191583086	0.528224410702722	0.43081374279513	0.32168539585026	0.22889905651022
ACKR4	Other	0.578055033107449	0.563554590204856	0.421595278359753	0.433897096936036	0.563901941322342	0.76451924863454
ACLY	Other	0.10172314464849	0.123684985376962	-0.0113865690071612	0.144224226141693	-0.142145563352078	-0.0497159332788342
ACMSD	Other	0.437948646359677	0.445353910444899	0.35226563151082	0.295513392284393	0.241972957206761	0.115200591633315
ACN9	Other	-0.0770311636010861	0.0042989795849915	0.0339425485877061	0.0854641059869621	-0.0214231697151858	-0.194312208067
ACO1	Other	0.566189939938848	0.4865557659277	0.500992233392927	0.663485289327506	0.510551929331327	0.239850220454177
ACO2	Other	0.7570004427957	0.759765588808712	0.834368014964187	0.784107542253134	0.841277244761857	1.07363118208153
