Gene	Category	CCK-81-311cas9 Rep A p2	CCK-81-311cas9 Rep B p2	CCK-81-311cas9 Rep C p2
ACSBG2	Other	-0.130182345147997	0.00632823676931948	0.0566672560058644
ACSF2	Other	0.0649563561601402	0.181743026236262	-0.0497770072110046
ACSF3	Other	0.167867710777708	0.117564427219824	0.0525827427290702
ACSL1	Other	-0.0578554390026002	0.113477968649982	-0.00215806801832458
ACSL3	Other	0.144342111140185	0.00481777208914486	-0.0315083115363745
ACSL4	Other	0.172861257268846	0.133097634495166	0.106191363220479
ACSL5	Other	0.205108371744546	0.105177535953547	0.174296991029777
ACSL6	Other	-0.0534533297185806	0.131744257305219	0.140683114522897
ACSM1	Other	0.225310456678862	0.19958311966786	0.17738166264771
ACSM2A	Other	0.21752341137119	0.137267359335194	0.0961473251072817
ACSM2B	Other	0.33230327148051	0.282646238373346	0.370857375530819
ACSM3	Other	-0.0698073540987139	-0.122061809216565	0.0688906629980189
ACSM4	Other	0.129700872255773	0.226576882418319	0.142418701391168
ACSM5	Other	0.155429874069654	0.344803446993555	0.146983212396514
ACSM6	Other	0.130097191264713	0.171619597195593	0.0848447214220501
ACSS1	Other	-0.104850185848469	-0.10198260162727	0.0437039641573473
ACSS2	Other	0.0593145073107852	0.171454101532009	0.199990570677372
ACSS3	Other	-0.0129958802006503	-0.00211295181485061	0.012489383516521
ACTA1	Other	-0.00164744412202278	0.0196256966641746	-0.120885518961281
ACTA2	Other	0.055138529719269	0.0133028875175636	0.10495258042975
ACTB	Other	0.037710122834142	0.0323796738323253	-0.0853315447695623
ACTBL2	Other	-0.118290272597104	-0.0622127199587817	0.105271780424141
ACTC1	Other	0.0135250565763866	0.0578913703553198	0.103556237660811
ACTG1	Other	-0.329380541625973	-0.301842771928462	-0.334376137530489
ACTG2	Other	0.0840616244513793	0.029502930128359	-0.0179547436157483
ACTL10	Other	0.0450859020088523	-0.0900695451753062	0.133103843744229
ACTL6A	Other	-0.243188296623725	-0.213633949919677	-0.318988943956501
ACTL6B	Other	0.0548380832553463	-0.170121119663531	-0.0138092050521724
ACTL7A	Nonessential	-0.100572640756948	-0.184506615506578	-0.399583161155185
ACTL7B	Nonessential	-0.16935751422246	-0.201582132391735	-0.012031622504276
ACTL8	Other	0.161337099697352	0.0310131130495376	-0.0046212783006499
ACTL9	Nonessential	0.168689167231071	0.179423924613548	0.121455000695711
ACTN1	Other	-0.0674104039675731	-0.000586561836693394	0.127058861490645
ACTN2	Other	-0.187323099656388	-0.253965088328083	-0.12248139793125
ACTN4	Other	-0.147957463212169	-0.164534077954754	-0.144909044089723
ACTR10	Other	-0.140179619929857	-0.0949266854488475	0.0640336914348482
ACTR1A	Other	-0.388055977669384	-0.238909676922858	-0.245189069676515
ACTR1B	Other	-0.205685779521085	-0.218336834030077	-0.18923239810335
ACTR2	Other	-0.310228380124022	-0.467506572674916	-0.428577180811438
ACTR3	Other	-0.0392495716457681	-0.102473222958136	-0.0988121128904611
ACTR3B	Other	0.157160584140599	-0.0478217964340242	0.193440155434267
ACTR3C	Other	-0.130755907371054	0.114062263099564	-0.0348132877407258
ACTR5	Other	0.0535403208512001	0.0911275878604919	-0.104322343208061
ACTR6	Other	-0.00585492564687284	-0.100858057042362	-0.130194422636559
ACTR8	Other	-0.294977294656952	-0.244262977963659	-0.318659164941693
ACTRT1	Nonessential	-0.00371121695941511	-0.12969474201692	0.0617746461784969
ACTRT2	Other	0.052131588004802	0.270062535825287	0.256237239042945
ACTRT3	Other	-0.0411094127878913	0.0880661770736681	0.0266118531423697
ACVR1	Other	0.0170500173741694	0.0269647539181503	0.126685975661376
ACVR1B	Other	-0.0184624975230776	-0.0643083378052215	-0.0886226916079563
ACVR1C	Other	0.138401521234437	0.0452121879078413	0.167918984612784
ACVR2A	Other	-0.161642341757554	-0.265476791621177	-0.220915339340637
ACVR2B	Other	0.198284996188496	0.0770400758361997	0.344840846605881
ACVRL1	Other	0.137056619822176	0.246443094784496	0.0994643883464807
ACY1	Other	0.0610395830340575	0.102115832636647	0.126676048246682
ACY3	Other	-0.0797140976939429	-0.114202133300551	-0.269890170662303
ACYP1	Other	-0.134463405846828	-0.121384601030352	-0.0131433716295367
ACYP2	Other	0.130499903330807	0.223964780595262	0.122237391648292
ADA	Other	-0.0851603640604213	-0.0274666372669404	0.0648835200488597
ADAD1	Nonessential	-0.0467476417183815	0.0219976567486686	0.000400809149936787
ADAD2	Other	0.0675087938273354	0.039033743047174	-0.148456231373456
ADAL	Other	0.0173260143335005	-0.00398710805323987	0.061551982148818
ADAM10	Other	-0.102981244631533	-0.0851513689213748	-0.210238519833149
ADAM11	Other	0.0910983617905233	-0.0144903304089699	-0.0963717190851913
ADAM12	Other	-0.0154991653816181	-0.049789692886652	-0.113582609903281
ADAM15	Other	0.0630518881125507	0.070782210761039	0.0417904215430959
ADAM17	Other	0.171242162171863	0.0142910185630962	-0.0249786557193358
ADAM18	Nonessential	0.0548147784714877	0.0292846521743076	-0.025025755168619
ADAM19	Other	0.216596784491764	0.216500516833325	0.30476743535205
ADAM2	Nonessential	-0.0331204663281248	-0.0494097272522231	-0.0492611690498794
ADAM20	Nonessential	0.127464862904238	-0.0886426013890502	-0.0291739969088679
ADAM21	Other	-0.0647273036027969	0.1318581699802	0.0997454090995691
ADAM22	Other	-0.12933147455912	-0.0415290169681946	-0.181239966971739
ADAM23	Other	-0.0697309661409072	-0.0379331492900978	-0.0639937861818985
ADAM28	Other	0.158991351446484	0.162898485247804	0.28211462476
ADAM29	Other	0.228376946065034	0.0260103811528678	0.194911543935956
ADAM30	Nonessential	-0.0204988687116512	-0.144202016780925	-0.140230819185804
ADAM32	Other	0.0803712495796257	0.0904967534832386	0.105459305890936
ADAM33	Other	-0.0164022783858398	0.0380539994993707	-0.129092566718836
ADAM7	Other	0.0378436002237471	0.0425631733768121	0.00820931267982411
ADAM8	Other	-0.0483416381486921	0.051256936819713	0.0619712607112388
ADAM9	Other	0.0401893571472096	0.13645026775073	0.129310254908579
ADAMDEC1	Other	0.134348390817286	0.135670361864435	0.0843459416911393
ADAMTS1	Other	-0.227070773163668	-0.245546184594125	-0.0898080187498736
ADAMTS10	Other	-0.150430480159727	-0.0696464815394937	-0.0798012870220701
ADAMTS12	Other	0.115774341731704	0.045941464646613	0.0333981580576556
ADAMTS13	Other	0.138820223058697	0.0477872554731507	0.172625456982964
ADAMTS14	Other	0.0466576888419603	0.075811935821395	0.101497863854503
ADAMTS15	Other	-0.00793035908066297	0.149405391170139	0.161886571723992
ADAMTS16	Other	0.0106754877092697	0.00319061702820145	-0.11102271812848
ADAMTS17	Other	0.185292777073626	0.00157897720749259	0.116633528370628
ADAMTS18	Other	-0.0958273566813089	0.0362238119499758	-0.0155905397837062
ADAMTS19	Other	0.0548791879965454	0.137824834240252	-0.0308505421029293
ADAMTS2	Other	0.0369323371776267	-0.035055400748616	0.179766977061067
ADAMTS20	Other	0.131228717285225	0.122404310284983	0.0142984557785248
ADAMTS3	Other	-0.0138958249189699	0.108159013205978	-0.0686052881114071
ADAMTS4	Other	-0.169320235137176	-0.191067058831386	0.0125637342833601
ADAMTS5	Other	0.160547341419363	0.103318635290862	-0.166152267353288
ADAMTS6	Other	0.035468774226678	0.0665507947465905	0.0384576597438047
ADAMTS7	Other	-0.32594161170644	-0.190650054227434	-0.259166869072116
ADAMTS8	Other	0.0226062412950692	-0.0479801579489805	-0.122153539475349
ADAMTS9	Other	-0.0276023930829525	-0.0107214536521051	0.0236817930510459
ADAMTSL1	Other	0.0618075400437639	0.098256647535047	0.17063219004553
ADAMTSL2	Other	0.0910089678701269	0.0626392834868443	0.097762182565285
ADAMTSL3	Other	-0.0277003434300481	0.00208711556537156	0.0692626816686063
ADAMTSL4	Other	-0.201580044219634	-0.0523161780267862	-0.160382452390886
ADAMTSL5	Other	0.0633852435735366	0.123808344605318	0.154503368348634
ADAP1	Other	-0.15687030545963	0.0201637658122553	-0.104829569473197
ADAP2	Other	-0.32330973693972	-0.219708996801655	-0.0445539116452607
ADAR	Other	0.00113967365838605	0.0795114935019277	0.0704927096240929
ADARB1	Other	0.188057268317064	0.11154973336626	0.172210789716911
ADARB2	Other	0.0271943073339412	0.0526289383060418	0.137496810650768
ADAT1	Other	-0.0190275101018858	-0.0327836229730363	-0.0429564394888066
ADAT2	Other	-0.232441332154164	-0.0329112274764805	-0.123971846129564
ADAT3	Other	-0.0241747184123546	0.0475008096490418	-0.0304650583604066
ADCK1	Other	0.191650395279103	0.188028435025739	0.231841793868857
ADCK2	Other	-0.162157438371073	-0.226960130704434	-0.117741459715994
ADCK3	Other	-0.0668529339875416	-0.0492338272363015	0.152964243030132
ADCK4	Other	0.0453138609858246	-0.00441481801355778	0.0294950948968082
ADCK5	Other	-0.124516659922685	0.123860663112394	0.0903549449000814
ADCY1	Other	0.241772129799794	0.108746105598467	0.0336801097388536
ADCY10	Other	0.134032673343344	0.162538270635819	0.129728921329906
ADCY2	Other	0.126611750607084	0.210661726782013	0.139097697379543
ADCY3	Other	-0.0841310442799371	0.0329107620986438	-0.185266861780696
ADCY4	Other	-0.0340658981894217	-0.0971487048004508	0.0195287210034863
ADCY5	Other	0.0886200525899295	0.088473783527635	0.142963412105465
ADCY6	Other	0.299883076106538	0.163649927089739	0.0493474121729901
ADCY7	Other	0.0135721498759843	0.168929112101871	0.2699056343691
ADCY8	Other	0.0282877766457652	-0.0254710053416559	0.0272409432059417
ADCY9	Other	0.0623763209241311	0.011405084309388	0.0069076956730959
ADCYAP1	Other	-0.0696045552739223	-0.0761558252858166	-0.157712130231847
ADCYAP1R1	Other	-0.0317726940599012	0.10753510953109	-0.054020359302054
ADD1	Other	0.0219559239296387	0.0297725355576552	-0.0640517432426586
ADD2	Other	-0.231970988478813	-0.247239211851992	-0.112330181225274
ADD3	Other	-0.0981918258310016	-0.0112431788654934	-0.0677179048543002
ADH1A	Other	0.0213622424845298	0.201452617055415	0.111129476781543
ADH1B	Other	-0.0887496890836462	-0.136604293242922	-0.0142709418600222
ADH4	Other	0.138181452628015	0.0683238324446193	0.1660698825889
ADH5	Other	-0.00965969892118346	0.00819188986402541	-0.0411580436588478
ADH6	Other	0.127174316363154	0.260707622146197	0.0964084904514465
ADH7	Nonessential	0.0859490996433449	-0.0598410953388804	0.0940201664157981
ADHFE1	Other	0.0718441619590595	0.0233079846001498	-0.0737774723076066
ADI1	Other	0.0085840039739763	0.158621038147323	0.0489119930627813
ADIG	Other	0.0181133543120661	-0.0081275975031056	0.0096824609701448
ADIPOQ	Other	0.219484253633242	0.121052201736422	0.0722110464302437
ADIPOR1	Other	0.172660100434499	0.169665265114755	0.116858897784725
ADIPOR2	Other	0.126893011728063	0.126576698071278	0.217440848824838
ADIRF	Other	-0.234086176998018	0.0724136724742067	0.0303097789467423
ADK	Other	-0.0783512804501615	0.0140105314708654	-0.0362368630555786
ADM	Other	0.0311430110034837	0.155358427687956	0.21601270040417
ADM2	Other	0.171179738112456	0.204115251445714	0.138554224464571
ADM5	Other	-0.0447009188610118	-0.215953804472008	-0.12570348505532
ADNP	Other	-0.177441382200289	0.0140912985041595	-0.0499988142117212
ADNP2	Other	0.154080060569543	0.0930952228716911	0.297985943143638
ADO	Other	0.0787951972465269	0.0229189302154955	0.0729589759881046
ADORA1	Other	-0.0733230402666326	-0.178028627295231	0.0485019930500592
ADORA2A	Other	0.0295214636880489	0.184086129186972	0.128904041154966
ADORA2B	Other	-0.161591887852381	-0.236642563489122	-0.350375517320385
ADORA3	Other	0.0264201869591542	0.107232649579995	0.081951425441454
ADPGK	Other	-0.0352216805753696	-0.133991865382694	-0.254923087662478
ADPRH	Other	-0.288488714560599	-0.0680915548761939	-0.245512714868182
ADPRHL1	Other	0.110225266634829	0.0430305521197873	0.0735362520536732
ADPRHL2	Other	-0.265571939364749	-0.138959578214502	-0.27010615609563
ADPRM	Other	0.154079840265331	0.17532023635582	0.192686454475057
ADRA1A	Other	0.211779367363857	0.294402356288326	0.283379745739773
ADRA1B	Other	0.205289686522361	0.00286707228192618	0.0734312081319464
ADRA1D	Other	0.0897288979398629	0.0565456703505972	0.142593665948614
ADRA2A	Other	0.058209052826296	0.148146636645855	0.171391187495723
ADRA2B	Other	0.121781369094326	0.0786419675625864	0.140309904512972
ADRA2C	Other	0.0173029156597237	0.0661517454686479	0.0883602341346808
ADRB1	Other	-0.0237826816594907	-0.0476621414851245	0.0559778794836496
ADRB2	Other	0.062851710933931	-0.0394757029818098	-0.102363767165741
ADRB3	Other	0.256252425022166	0.139133807297196	0.122980097755924
ADRBK1	Other	-0.133098145940466	-0.204002049648248	-0.184422925902436
ADRBK2	Other	-0.0776396223425789	-0.171473002702235	-0.0706739612426088
ADRM1	Other	-0.143724365657395	-0.124964534074882	-0.269321622991818
ADSL	Other	0.0717142036874855	-0.172310239345053	-0.182258085860564
ADSS	Other	-0.173356225608449	-0.17324767099122	-0.101663450974629
ADSSL1	Other	-0.133488300032519	-0.0619181512293325	-0.101205722700868
ADTRP	Other	0.172258627530113	0.0231398183004659	0.0383303294788335
AEBP1	Other	-0.0215219756384434	0.0176375932424316	-0.0285341990914793
AEBP2	Other	-0.206074588020276	-0.118428920764225	-0.137247663718119
AEN	Other	0.129902410176508	0.0389218257021822	0.113400865227292
AES	Other	-0.154337232677704	-0.0311423733420877	-0.10581408164105
AFAP1	Other	-0.018074100291927	-0.0297141521096942	0.134081942869982
AFAP1L1	Other	-0.0112367967956207	0.126442050601291	-0.120881488036377
AFAP1L2	Other	-0.0587327824556323	-0.0776717188702231	-0.0208422664947445
AFF1	Other	0.170062273533027	0.0890134416775543	0.074850722336519
AFF2	Other	0.377676679860026	0.0817601158731041	0.252826607036132
AFF3	Other	-0.226838226718943	-0.244207590007606	-0.0813947042759861
AFF4	Other	0.134366291897124	-0.0134540464448301	-0.0687351511283728
AFG3L2	Other	-0.0207756404957199	-0.0414522707860843	-0.0969867496022893
AFM	Nonessential	-0.0808077021209	-0.176750921865221	0.00109808296517433
AFMID	Other	0.0872524597025759	0.0161541842053144	0.047098677933724
AFP	Other	-0.0645263439548946	-0.0916685703154241	-0.0279520976681738
AFTPH	Other	0.00970781458522013	0.020939921879242	-0.13110935074214
AGA	Other	0.105257207491301	0.0368358031586085	0.110223520251198
AGAP1	Other	0.112493007477765	0.0791539887779275	0.0162913326978636
AGAP2	Other	-0.189929378231364	-0.230763072332402	-0.0979245536017447
AGAP3	Other	-0.0872706587364638	0.194120188152493	0.028836225874093
AGAP4	Other	-0.628988280950395	-0.7139329621338	-0.770426713542149
AGAP5	Other	-0.0965556446658092	-0.0445766738223741	-0.134958382894717
AGAP6	Other	-0.183433529414715	-0.319132836818883	-0.186290479339262
AGAP7P	Other	-0.291161502832909	-0.29507041305047	-0.367919829646982
AGAP9	Other	-0.310108775842531	-0.338263501401877	-0.207742180413223
AGBL2	Other	-0.00305498663580244	0.0959952211796004	-0.045350616941628
