Gene	Category	CCK	pDNA
ACTRT3	Other	0.0694770218121355	0.0449541493360867
ACVR1	Other	0.433318590973996	0.376418341989431
ACVR1B	Other	0.331647325113961	0.38877850075938
ACVR1C	Other	-0.126975932223526	-0.244153496808547
ACVR2A	Other	-0.0380556920456619	0.177955798860794
ACVR2B	Other	0.0315915026599874	-0.175130470216872
ACVRL1	Other	0.381317091509553	0.220329057191835
ACY1	Other	0.288876737082839	0.192266249110377
ACY3	Other	0.000694046051569118	0.155296179937168
ACYP1	Other	0.698304430023628	0.7879682228592
ACYP2	Other	0.401632061921073	0.242731370062952
ADA	Other	0.866111312676716	0.882025806436217
ADAD1	Nonessential	1.02650687691527	1.03462326885519
ADAD2	Other	-0.0902196990502867	-0.0762484675506378
ADAL	Other	0.993329277322271	0.968365647845912
ADAM10	Other	0.215861242221488	0.34865162001684
ADAM11	Other	0.879843611142375	0.886431507043588
ADAM12	Other	-0.0467826342727178	0.0128411884511324
ADAM15	Other	0.473205418886064	0.414663912080502
ADAM17	Other	0.211563473253651	0.158045298248443
ADAM18	Nonessential	-0.330702412560996	-0.350393637720055
ADAM19	Other	0.273358495760091	0.0274035835343784
ADAM2	Nonessential	0.752047860329959	0.795978314540035
ADAM20	Nonessential	0.0416300989430754	0.0384140107409689
ADAM21	Other	0.608091732197266	0.552466307038275
ADAM22	Other	0.180688970462808	0.298055789962492
ADAM23	Other	0.869262555207179	0.926481855744814
ADAM28	Other	0.540586457191594	0.339251636706831
ADAM29	Other	0.628507384818839	0.47874109443422
ADAM30	Nonessential	-0.203777660071398	-0.102133758511938
ADAM32	Other	0.392841970136808	0.300732867152208
ADAM33	Other	-0.148926346985339	-0.11311273178357
ADAM7	Other	0.319533190460333	0.289994495033538
ADAM8	Other	-0.86680023715353	-0.88842909028095
ADAM9	Other	0.449301356030805	0.347318062761965
ADAMDEC1	Other	0.209474135830104	0.0913525710391501
ADAMTS1	Other	-0.232137736452314	-0.0446627442830921
ADAMTS10	Other	0.141567101548783	0.241526517789214
ADAMTS12	Other	-0.606585281663031	-0.671623269808355
ADAMTS13	Other	-0.0405740304198005	-0.160318342258071
ADAMTS14	Other	0.0285437035246709	-0.0461121259812817
ADAMTS15	Other	-0.0600323380609548	-0.161152872665444
ADAMTS16	Other	0.290216223194676	0.322601760991678
ADAMTS17	Other	0.320479487873293	0.219311060322711
ADAMTS18	Other	0.0680387493571516	0.093103444195498
ADAMTS19	Other	-0.147197120360726	-0.201148280405348
ADAMTS2	Other	-0.499173183856126	-0.559721155019485
ADAMTS20	Other	0.863817313431674	0.774506818982096
ADAMTS3	Other	0.309294213103995	0.300741579712128
ADAMTS4	Other	-0.680105347479643	-0.564164160917909
ADAMTS5	Other	-0.480590321976917	-0.513161558429229
ADAMTS6	Other	0.196032341255035	0.149206598349344
ADAMTS7	Other	-0.441878361897041	-0.183292183561711
ADAMTS8	Other	0.499285656381287	0.548461475091041
ADAMTS9	Other	-0.0310085812124526	-0.0261278966511154
ADAMTSL1	Other	0.960679411408196	0.850447285533415
ADAMTSL2	Other	-1.35235579167673	-1.43615926965081
ADAMTSL3	Other	-0.233164494548153	-0.247714312482797
ADAMTSL4	Other	-0.452847494762812	-0.314754603217043
ADAMTSL5	Other	-0.588880684395643	-0.702779669904806
ADAP1	Other	-0.211093566320917	-0.130581529947393
ADAP2	Other	0.00166722445898674	0.197524772921199
ADAR	Other	0.192302000107471	0.141920707846002
ADARB1	Other	0.304882988422232	0.14761039128882
ADARB2	Other	0.370278827791488	0.297838809027904
ADAT1	Other	0.0742409585025289	0.105830149357105
ADAT2	Other	-0.439274643179602	-0.309499841259532
ADAT3	Other	-0.193912007208855	-0.191532351500949
ADCK1	Other	0.514401962148892	0.310561754090992
ADCK2	Other	-0.623501761503473	-0.454548751906306
ADCK3	Other	-0.179701813941088	-0.191994307876518
ADCK4	Other	0.209439706748943	0.185974994125918
ADCK5	Other	-0.571977289355942	-0.601876938719205
ADCY1	Other	0.317179451637332	0.189113336591627
ADCY10	Other	0.0405774810554224	-0.101522474047601
ADCY2	Other	0.301148545040436	0.14235815345089
ADCY3	Other	-0.00759777638430946	0.0712312716030201
ADCY4	Other	0.278947529299236	0.316176156628031
ADCY5	Other	0.387417266422749	0.280731517015073
ADCY6	Other	0.107458342803831	-0.0635017956525918
ADCY7	Other	-0.191114038295467	-0.341916337077786
ADCY8	Other	0.174528318089044	0.164509079919027
ADCY9	Other	-0.290773247396931	-0.317669614365802
