Gene	Category	CCK-81-311cas9 Rep A p2	CCK-81-311cas9 Rep B p2	CCK-81-311cas9 Rep C p2	pDNA_0	pDNA_2
ABCD1	Other	-0.617108658911842	-0.529814615508567	-0.377391877135757	-0.480244476487145	-0.49355611079205
ABCD2	Other	0.261680024694712	0.441705112901718	0.304564302120586	0.314355720243245	0.26654228371594
ABCD3	Other	-0.326924833918916	-0.158784444952429	-0.33814007369914	-0.260041819030749	-0.217505282620245
ABCD4	Other	0.0942616384819532	0.104839273244039	0.0719717509902134	0.316564480185694	0.15964001483432
ABCE1	Other	0.717555727347788	0.774636220561999	0.71711430134494	0.739225508708954	0.7418566650299
ABCF1	Other	-0.182597470585919	-0.260812735683695	-0.247796387334938	-0.0215568465745148	-0.0978109363429
ABCF2	Other	0.135121685812269	0.210928409173754	0.201218683175449	0.225267630903597	0.280654868269947
ABCF3	Other	0.0411085072242713	-0.115479181323876	0.106416117122035	0.00483602567204347	-0.0710835465079277
ABCG1	Other	0.104928738400491	0.056902026907421	0.0786272485731408	0.607346698161768	0.569953215611364
ABCG2	Other	0.190093348008922	0.429094319744053	0.299593948083061	0.19029698834471	0.0274087181254217
ABCG4	Other	0.65835139134748	0.632989014811748	0.66871554349284	0.501164045838964	0.731091552765274
ABCG5	Other	0.268825719881417	0.316773840187993	0.406249348272883	0.176304572340776	0.270532439062068
ABCG8	Nonessential	0.0408056882413523	0.0857088120701294	0.0723014962231989	0.0760561064548576	0.269295318237609
ABHD1	Other	-0.0602575258464048	-0.148977564126373	0.0435969227435123	0.0190003488089561	-0.0380219746144018
ABHD10	Other	-0.15491866921287	-0.0861429353182018	-0.260778414417958	0.0047133583004407	-0.0864530006077515
ABHD11	Other	-0.858949240558995	-0.791199346637659	-1.00054372051927	-0.353192401046025	-0.241532747563208
ABHD12	Other	0.141304443297715	0.238871374163012	0.203622192697327	0.151544350216201	0.246466081083308
ABHD12B	Other	-0.349063593326535	-0.223400971514659	-0.283897482195897	-0.333423126546075	-0.246929160751613
ABHD13	Other	0.397054435829506	0.514776082194416	0.500190856731498	0.845169645101419	0.677698270811658
ABHD14A	Other	0.298058692359702	0.190176541280427	0.287728996714804	0.304786908116223	0.411197528702354
ABHD14B	Other	-0.462419277632765	-0.553622702751417	-0.509825362866518	-0.427588038880543	-0.425708367282299
ABHD15	Other	-0.946456993937834	-0.90133315829826	-0.848880336574807	-0.776042541778801	-0.821314872447396
ABHD16A	Other	0.349600476361175	0.222619313176279	0.285535858893381	0.314089854161039	0.447819643592171
ABHD16B	Other	-0.186153974529127	-0.0863695075334643	-0.312650008058761	-0.206090158403745	-0.0777744248041966
ABHD17A	Other	-0.0154800990822145	-0.0627224493596078	-0.0787816997445555	0.0356477636465174	0.0550983750435676
ABHD17B	Other	0.884771521693646	0.872970399817322	0.750767678971791	0.753746912064861	0.775068362581959
ABHD17C	Other	-0.246606813074992	-0.203663146530184	-0.267524198506925	-0.0892112418315683	-0.402228453476996
ABHD2	Other	-0.152025921593183	-0.187071350167862	-0.119864039642009	-0.0948489095055397	0.062976621263756
ABHD3	Other	0.762870456742548	0.835615027310619	0.713213577199259	0.671724561136396	0.726671847727201
ABHD4	Other	0.453399313961752	0.454749117426525	0.490374505727442	0.483599905938429	0.37539020746909
ABHD5	Other	1.442113241891	1.59440121238648	1.55601881963812	1.62772542151644	1.50002612384972
ABHD6	Other	0.885417910487535	0.93355689200466	0.956623867446142	1.05836784411694	1.07085806025671
ABHD8	Other	-0.251358561408185	-0.308650660107107	-0.340049675279628	-0.227841200995757	-0.176436050010852
ABI1	Other	0.378726977249796	0.340986353657053	0.0618771427898054	0.349110470182899	0.323627173726478
ABI2	Other	0.630544257953985	0.511961047335896	0.504800949606225	0.406802919073893	0.508587666805667
ABI3	Other	0.0156536609511967	0.0322299361266667	0.200416475365381	0.10208794712437	0.142979715483871
ABI3BP	Other	-0.00100664368688581	0.0112487671716673	0.0559091431207062	0.0110001766739111	-0.0622660310901936
ABL1	Other	-0.354423349791684	-0.517949447766325	-0.495671616459274	-0.499467186125695	-0.466463529202399
ABL2	Other	0.739318490415013	0.779803425517052	0.728465730267662	0.780387546283618	0.698603467798055
ABLIM1	Other	-0.317361460805188	-0.0781908754414476	-0.130825080977043	-0.0964826421446191	-0.182759650323947
ABLIM2	Other	-0.15246811779387	-0.440364096963772	-0.296021189193335	-0.314327069887121	-0.301975663861181
ABLIM3	Other	0.476082061947078	0.574640869677456	0.522922312750873	0.407393008075273	0.383959653730667
ABR	Other	-0.516143562288454	-0.49414174216869	-0.498021159328356	-0.513607528668068	-0.478634959806248
ABRA	Other	-0.345954600111456	-0.460631911593842	-0.440004018589212	-0.59406825573407	-0.491465107255387
ABRACL	Other	0.312544253208791	0.356582810661503	0.247093726661866	0.293383287447197	0.318284015622639
ABT1	Other	-0.229099428023576	-0.275093939029903	-0.223006101811391	-0.175352576168609	-0.0194933104147795
ABTB1	Other	0.26929667507341	0.306313404729307	0.20852998497336	0.24915428078465	0.256338266342447
ABTB2	Other	-0.18629449134152	-0.281266117934993	-0.21637467647047	-0.250366731733451	-0.395881068909416
ACAA1	Other	-0.715377493638522	-0.558192782912253	-0.537469984430275	-0.432964928541976	-0.662877683061709
ACAA2	Other	0.996048304701553	1.06232304376344	0.922593428995196	1.03182848452402	1.00677844313054
ACACA	Other	-0.197964745658343	-0.0525423618502089	-0.118859674189135	-0.125469929655213	-0.207454929127805
ACACB	Other	1.09397782375234	1.09882975605606	1.10898774839466	1.2595359507117	1.20941507324167
ACAD10	Other	-0.201595130570778	-0.0878330325104184	-0.260088598475983	-0.0344368842571225	-0.175293887041855
ACAD11	Other	0.468491859262772	0.62685321346133	0.454927405878278	0.502095102973375	0.600512487449404
ACAD8	Other	0.677822786618976	0.661610517535091	0.510854263880305	0.275203075516252	0.292427252469152
ACAD9	Other	-0.298001689132175	-0.053787158144574	-0.0796655026208835	-0.192359197032487	-0.00789358275270235
ACADL	Other	0.0320018020502396	-0.0456240743563276	0.0682451105781234	-0.00726730847195623	-0.137704029193721
ACADM	Other	0.307828074788222	0.269779270404399	0.204406169032686	0.129933173331534	0.181182908144235
ACADS	Other	-0.0753384365935446	0.0298135862182536	-0.147731051210111	0.190152950198971	0.13924149904566
ACADSB	Other	0.438894756735432	0.607857454745381	0.388347301305836	0.472477591467685	0.638884983715733
ACADVL	Other	0.211898435073617	0.287239245285621	0.148549586180579	0.176450097323213	0.132049333325716
ACAN	Other	0.136403814335618	-0.0349782306976707	-0.0186544096545828	-0.0905170963851827	0.0630785982010024
ACAP1	Other	-0.0271139462912765	0.112764660843721	0.26708333925788	0.226974501664429	0.0438580585030025
ACAP2	Other	0.280446645592282	0.304745360187313	0.291295311526412	0.230529503905192	0.22522650540534
ACAP3	Other	0.692799926471239	0.561311597724487	0.724122139958881	0.678073009513473	0.651703736723516
ACAT1	Other	0.673439463976981	0.72516580022228	0.686322402124878	0.688905154470689	0.509860357509089
ACAT2	Other	0.77920538265833	0.71587019977854	0.697716162530954	0.504257507935173	0.519150919417727
ACBD3	Other	-0.206257821163152	-0.314238183681117	-0.135496554963567	-0.182834361896989	-0.136794494802331
ACBD4	Other	0.0536327727170323	0.0808726417882455	0.0937217251598185	0.106876325529055	0.0425878577408851
ACBD5	Other	-0.275189144498968	-0.289280034625442	-0.362187737656383	-0.412781689264285	-0.314197897494561
ACBD6	Other	0.547658428285865	0.688344791254256	0.612661299404665	0.755631360009182	0.642633341987211
ACBD7	Other	0.63911829871233	0.703720948345732	0.599138910288221	0.521877277759839	0.551619605482958
ACCS	Other	0.319269983773775	0.189312856704791	0.201535677502583	-0.0263871553404117	-0.133436262353292
ACCSL	Nonessential	-0.012698086614991	0.118687753603596	-0.128542447643848	0.0371636389185534	-0.0597873211210934
ACD	Other	-0.632478677154866	-0.485183855481487	-0.733794142813191	-0.371236064258059	-0.386674480416481
ACE	Other	-0.283979763314282	-0.443783381412071	-0.0808333737416781	-0.368887982989209	-0.264733031395777
ACE2	Other	0.563130163849561	0.545095619006908	0.564165102560073	0.508679389409138	0.478452325609948
ACER1	Other	0.692216478330468	0.668263538925544	0.717930064625059	0.35765169784039	0.47471508964502
ACER2	Other	-0.0265562871211271	0.0608699166146449	-0.270221734036314	-0.110409433503431	-0.0748660884648497
ACER3	Other	0.508985503611525	0.534585908146278	0.389447196867003	0.339808606653759	0.519585428404027
ACHE	Other	-0.698899131969968	-0.713875247801865	-0.768149602080754	-0.639119380718073	-0.562481488281332
ACIN1	Other	0.135837713145833	0.319456065371223	0.0861467448008694	0.211801569713166	0.225897063117394
ACKR1	Other	0.335981297772592	0.404500674264674	0.572950147600636	0.551407221624361	0.504995290898103
ACKR2	Other	1.060220399453	1.12239263704381	1.08580547932017	0.962155751285389	0.914256400518608
ACKR3	Other	0.550635828305938	0.415948972196067	0.391432336349006	0.32168539585026	0.22889905651022
ACKR4	Other	0.448188949325673	0.475309667736026	0.628476898322514	0.563901941322342	0.76451924863454
ACLY	Other	0.00488161531129849	-0.00279427034900057	-0.120928469970344	-0.142145563352078	-0.0497159332788342
ACMSD	Other	0.14421044329787	0.239799482844701	0.365422821616893	0.241972957206761	0.115200591633315
ACN9	Other	0.0618852950929581	0.0729898510194375	-0.0844968264922468	-0.0214231697151858	-0.194312208067
ACO1	Other	0.474511840711836	0.424982663348168	0.386975476020828	0.510551929331327	0.239850220454177
ACO2	Other	0.965967784766613	0.904662147298137	0.832108114777046	0.841277244761857	1.07363118208153
ACOT1	Other	-0.375325209660054	-0.218070556233942	-0.280950706592881	-0.404284036385898	-0.525305819713427
ACOT11	Other	-0.131218335838152	-0.227978954902707	-0.101041643335083	-0.297411793699666	-0.239690687443992
ACOT12	Other	0.146123801886715	0.281506771361839	0.361605746097646	0.47971793197326	0.413069770157027
ACOT13	Other	-0.701361789807458	-0.772958749870706	-0.702877385777285	-0.629090371267781	-0.674426195991794
ACOT2	Other	0.0713364630533111	0.146015234849391	0.0426227298793756	-0.0127193876843227	0.00345614858829758
ACOT4	Other	0.0336027050106426	-0.182250455079068	-0.0960284179163261	-0.0394646598395601	-0.109742994918894
ACOT6	Other	0.228330972281566	0.268248812731202	0.255043325098331	0.184690652872446	0.3131401375969
ACOT7	Other	-0.0808196387864547	-0.185462283553404	-0.0940599228327671	-0.328716118777758	-0.194146131807656
ACOT8	Other	-0.528173685324523	-0.433344796564643	-0.332993210313195	-0.52194826245285	-0.511286579758312
ACOT9	Other	0.439600267096355	0.292691396160323	0.460542505035341	0.400987297501535	0.170786670114954
ACOX1	Other	0.487479335008034	0.429592656574676	0.547409100742878	0.596038347830385	0.507906832024964
ACOX2	Other	-0.0551052536612468	-0.00328940507282397	0.207109712136094	0.00512426182464252	-0.0581210673345841
ACOX3	Other	-0.147997994129004	-0.018233199308601	-0.108927376021428	-0.12153445039185	-0.136202876114452
