sgRNA,Gene,Category
ADH6-1,ADH6,Other
ADH6-2,ADH6,Other
ADH6-3,ADH6,Other
ADH6-4,ADH6,Other
ADH7-1,ADH7,Other
ADH7-2,ADH7,Other
ADH7-3,ADH7,Other
ADH7-4,ADH7,Other
ADK-1,ADK,Other
ADK-2,ADK,Other
ADK-3,ADK,Other
ADK-4,ADK,Other
ADM-1,ADM,Other
ADM-2,ADM,Other
ADM-3,ADM,Other
ADM-4,ADM,Other
ADORA1-1,ADORA1,Other
ADORA1-2,ADORA1,Other
ADORA1-3,ADORA1,Other
ADORA1-4,ADORA1,Other
ADORA2A-1,ADORA2A,Other
ADORA2A-2,ADORA2A,Other
ADORA2A-3,ADORA2A,Other
ADORA2A-4,ADORA2A,Other
ADORA2B-1,ADORA2B,Other
ADORA2B-2,ADORA2B,Other
ADORA2B-3,ADORA2B,Other
ADORA2B-4,ADORA2B,Other
ADORA3-1,ADORA3,Other
ADORA3-2,ADORA3,Other
ADORA3-3,ADORA3,Other
ADORA3-4,ADORA3,Other
ADPRH-1,ADPRH,Other
ADPRH-2,ADPRH,Other
ADPRH-3,ADPRH,Other
ADPRH-4,ADPRH,Other
PARP1-1,PARP1,Other
PARP1-2,PARP1,Other
PARP1-3,PARP1,Other
PARP1-4,PARP1,Other
PARP4-1,PARP4,Other
PARP4-2,PARP4,Other
PARP4-3,PARP4,Other
PARP4-4,PARP4,Other
ADRA1D-1,ADRA1D,Other
ADRA1D-2,ADRA1D,Other
ADRA1D-3,ADRA1D,Other
ADRA1D-4,ADRA1D,Other
ADRA1B-1,ADRA1B,Other
ADRA1B-2,ADRA1B,Other
ADRA1B-3,ADRA1B,Other
ADRA1B-4,ADRA1B,Other
ADRA1A-1,ADRA1A,Other
ADRA1A-2,ADRA1A,Other
ADRA1A-3,ADRA1A,Other
ADRA1A-4,ADRA1A,Other
ADRA2A-1,ADRA2A,Other
ADRA2A-2,ADRA2A,Other
ADRA2A-3,ADRA2A,Other
ADRA2A-4,ADRA2A,Other
ADRA2B-1,ADRA2B,Other
ADRA2B-2,ADRA2B,Other
ADRA2B-3,ADRA2B,Other
ADRA2B-4,ADRA2B,Other
ADRA2C-1,ADRA2C,Other
ADRA2C-2,ADRA2C,Other
ADRA2C-3,ADRA2C,Other
ADRA2C-4,ADRA2C,Other
ADRB1-1,ADRB1,Other
ADRB1-2,ADRB1,Other
ADRB1-3,ADRB1,Other
ADRB1-4,ADRB1,Other
ADRB2-1,ADRB2,Other
ADRB2-2,ADRB2,Other
ADRB2-3,ADRB2,Other
ADRB2-4,ADRB2,Other
ADRB3-1,ADRB3,Other
ADRB3-2,ADRB3,Other
ADRB3-3,ADRB3,Other
ADRB3-4,ADRB3,Other
ADRBK1-1,ADRBK1,Other
ADRBK1-2,ADRBK1,Other
ADRBK1-3,ADRBK1,Other
ADRBK1-4,ADRBK1,Other
ADRBK2-1,ADRBK2,Other
ADRBK2-2,ADRBK2,Other
ADRBK2-3,ADRBK2,Other
ADRBK2-4,ADRBK2,Other
ADSL-1,ADSL,Other
ADSL-2,ADSL,Other
ADSL-3,ADSL,Other
ADSL-4,ADSL,Other
ADSS-1,ADSS,Other
ADSS-2,ADSS,Other
ADSS-3,ADSS,Other
ADSS-4,ADSS,Other
AP2A1-1,AP2A1,Other
AP2A1-2,AP2A1,Other
AP2A1-3,AP2A1,Other
AP2A1-4,AP2A1,Other
AP2A2-1,AP2A2,Other
AP2A2-2,AP2A2,Other
AP2A2-3,AP2A2,Other
AP2A2-4,AP2A2,Other
AP1B1-1,AP1B1,Other
AP1B1-2,AP1B1,Other
AP1B1-3,AP1B1,Other
AP1B1-4,AP1B1,Other
AP2B1-1,AP2B1,Other
AP2B1-2,AP2B1,Other
AP2B1-3,AP2B1,Other
AP2B1-4,AP2B1,Other
AP1G1-1,AP1G1,Other
AP1G1-2,AP1G1,Other
AP1G1-3,AP1G1,Other
AP1G1-4,AP1G1,Other
AEBP1-1,AEBP1,Other
AEBP1-2,AEBP1,Other
AEBP1-3,AEBP1,Other
AEBP1-4,AEBP1,Other
AES-1,AES,Other
AES-2,AES,Other
AES-3,AES,Other
AES-4,AES,Other
CRISP1-1,CRISP1,Other
CRISP1-2,CRISP1,Other
CRISP1-3,CRISP1,Other
CRISP1-4,CRISP1,Other
AFM-1,AFM,Other
AFM-2,AFM,Other
AFM-3,AFM,Other
AFM-4,AFM,Other
AFP-1,AFP,Other
AFP-2,AFP,Other
AFP-3,AFP,Other
AFP-4,AFP,Other
AGA-1,AGA,Other
AGA-2,AGA,Other
AGA-3,AGA,Other
AGA-4,AGA,Other
ACAN-1,ACAN,Other
ACAN-2,ACAN,Other
ACAN-3,ACAN,Other
ACAN-4,ACAN,Other
AGER-1,AGER,Other
AGER-2,AGER,Other
AGER-3,AGER,Other
AGER-4,AGER,Other
AGL-1,AGL,Other
AGL-2,AGL,Other
AGL-3,AGL,Other
AGL-4,AGL,Other
AGRP-1,AGRP,Other
AGRP-2,AGRP,Other
AGRP-3,AGRP,Other
AGRP-4,AGRP,Other
JAG1-1,JAG1,Other
JAG1-2,JAG1,Other
JAG1-3,JAG1,Other
JAG1-4,JAG1,Other
AGT-1,AGT,Other
AGT-2,AGT,Other
AGT-3,AGT,Other
AGT-4,AGT,Other
AGTR1-1,AGTR1,Other
AGTR1-2,AGTR1,Other
AGTR1-3,AGTR1,Other
AGTR1-4,AGTR1,Other
AGTR2-1,AGTR2,Other
AGTR2-2,AGTR2,Other
AGTR2-3,AGTR2,Other
AGTR2-4,AGTR2,Other
APLNR-1,APLNR,Other
APLNR-2,APLNR,Other
APLNR-3,APLNR,Other
APLNR-4,APLNR,Other
AGXT-1,AGXT,Other
AGXT-2,AGXT,Other
AGXT-3,AGXT,Other
AGXT-4,AGXT,Other
NR0B1-1,NR0B1,Other
NR0B1-2,NR0B1,Other
NR0B1-3,NR0B1,Other
NR0B1-4,NR0B1,Other
AHCY-1,AHCY,Other
AHCY-2,AHCY,Other
AHCY-3,AHCY,Other
AHCY-4,AHCY,Other
AHR-1,AHR,Other
AHR-2,AHR,Other
AHR-3,AHR,Other
AHR-4,AHR,Other
AHSG-1,AHSG,Other
AHSG-2,AHSG,Other
AHSG-3,AHSG,Other
AHSG-4,AHSG,Other
AIF1-1,AIF1,Other
AIF1-2,AIF1,Other
AIF1-3,AIF1,Other
AIF1-4,AIF1,Other
AIM1-1,AIM1,Other
AIM1-2,AIM1,Other
AIM1-3,AIM1,Other
AIM1-4,AIM1,Other
AK1-1,AK1,Other
AK1-2,AK1,Other
AK1-3,AK1,Other
AK1-4,AK1,Other
AK2-1,AK2,Other
AK2-2,AK2,Other
AK2-3,AK2,Other
AK2-4,AK2,Other
AK4-1,AK4,Other
AK4-2,AK4,Other
AK4-3,AK4,Other
AK4-4,AK4,Other
AKT1-1,AKT1,Other
AKT1-2,AKT1,Other
AKT1-3,AKT1,Other
AKT1-4,AKT1,Other
AKT2-1,AKT2,Other
AKT2-2,AKT2,Other
AKT2-3,AKT2,Other
AKT2-4,AKT2,Other
ALAD-1,ALAD,Other
ALAD-2,ALAD,Other
ALAD-3,ALAD,Other
ALAD-4,ALAD,Other
ALAS1-1,ALAS1,Other
ALAS1-2,ALAS1,Other
ALAS1-3,ALAS1,Other
ALAS1-4,ALAS1,Other
ALAS2-1,ALAS2,Other
ALAS2-2,ALAS2,Other
ALAS2-3,ALAS2,Other
ALAS2-4,ALAS2,Other
ALB-1,ALB,Other
ALB-2,ALB,Other
ALB-3,ALB,Other
ALB-4,ALB,Other
ALCAM-1,ALCAM,Other
