Gene	Category	CCK_biased	CCK_biased.1	CCK	Z	P(-)	FDR(-)	P(+)	FDR(+)	P(replicates)	FDR(replicates)	P(sgRNAs)	FDR(sgRNAs)
ABHD10	Other	-0.126410185162688	-0.126410185162688	-0.124950166206534	NA	NA	NA	NA	NA	0.984403266897178	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD11	Other	-0.586201528267357	-0.586201528267357	-0.587505690416765	NA	NA	NA	NA	NA	0.988246157710198	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD12	Other	-0.00440587893040318	-0.00440587893040318	-0.00407869399579427	NA	NA	NA	NA	NA	0.993881107482131	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD12B	Other	0.00472212796981338	0.00472212796981338	0.00519256460344859	NA	NA	NA	NA	NA	0.993107717346963	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD13	Other	-0.290760166371399	-0.290760166371399	-0.291272652080709	NA	NA	NA	NA	NA	0.992495029202353	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD14A	Other	-0.0993374749576446	-0.0993374749576446	-0.100606886329564	NA	NA	NA	NA	NA	0.981176132938235	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD14B	Other	-0.0819742446688122	-0.0819742446688122	-0.0824377722664784	NA	NA	NA	NA	NA	0.990971814615696	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD15	Other	-0.100211455823868	-0.100211455823868	-0.100880869447677	NA	NA	NA	NA	NA	0.987444510163757	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD16A	Other	-0.09503619939966	-0.09503619939966	-0.0957988651405719	NA	NA	NA	NA	NA	0.989288759555888	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD16B	Other	-0.05312553843648	-0.05312553843648	-0.0510047101304096	NA	NA	NA	NA	NA	0.982644159949726	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD17A	Other	-0.0977011520738351	-0.0977011520738351	-0.0974874848071379	NA	NA	NA	NA	NA	0.994034230087681	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD17B	Other	0.071762229504176	0.071762229504176	0.0725866825209072	NA	NA	NA	NA	NA	0.989834593991699	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD17C	Other	0.00645512828358176	0.00645512828358176	0.00686276012539076	NA	NA	NA	NA	NA	0.98846579051951	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD2	Other	-0.137050959680126	-0.137050959680126	-0.138033252372965	NA	NA	NA	NA	NA	0.975145879827057	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD3	Other	0.0713681493190101	0.0713681493190101	0.0719444938124875	NA	NA	NA	NA	NA	0.991452630588632	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD4	Other	0.0366792556681468	0.0366792556681468	0.0364614811915267	NA	NA	NA	NA	NA	0.99028452859729	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD5	Other	-0.0330313480445442	-0.0330313480445442	-0.0328258161448435	NA	NA	NA	NA	NA	0.99760996267522	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD6	Other	-0.139413395540712	-0.139413395540712	-0.13943476400697	NA	NA	NA	NA	NA	0.999461180956211	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD8	Other	-0.0978810067616694	-0.0978810067616694	-0.0975058725710292	NA	NA	NA	NA	NA	0.992281758487495	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABI1	Other	-0.0758386640558038	-0.0758386640558038	-0.0737967872639657	NA	NA	NA	NA	NA	0.989055374472132	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABI2	Other	0.0914067920255884	0.0914067920255884	0.0918999121851275	NA	NA	NA	NA	NA	0.993647330940097	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABI3	Other	-0.0397671404897055	-0.0397671404897055	-0.0412319118422033	NA	NA	NA	NA	NA	0.986831527134842	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABI3BP	Other	0.0476833494099705	0.0476833494099705	0.0474031252134107	NA	NA	NA	NA	NA	0.99125045621748	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABL1	Other	0.0269505529916192	0.0269505529916192	0.0269333213179311	NA	NA	NA	NA	NA	0.999823055334498	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABL2	Other	0.00970037502573958	0.00970037502573958	0.0100296657065101	NA	NA	NA	NA	NA	0.988785443802129	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABLIM1	Other	-0.0358379928402763	-0.0358379928402763	-0.0352172330959211	NA	NA	NA	NA	NA	0.995448435963332	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABLIM2	Other	0.011866898890492	0.011866898890492	0.0107268990722473	NA	NA	NA	NA	NA	0.992814089739015	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABLIM3	Other	0.128872083888833	0.128872083888833	0.129256921622704	NA	NA	NA	NA	NA	0.992911475404654	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABR	Other	-0.00664757702467544	-0.00664757702467544	-0.00656070724265768	NA	NA	NA	NA	NA	0.992951890029068	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABRA	Other	0.127236504729892	0.127236504729892	0.127556336381895	NA	NA	NA	NA	NA	0.995248728778714	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABRACL	Other	-0.0004267213575307	-0.0004267213575307	0.000367410774813716	NA	NA	NA	NA	NA	0.986689596399016	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABT1	Other	-0.144976879663263	-0.144976879663263	-0.145860636240132	NA	NA	NA	NA	NA	0.974232847392806	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABTB1	Other	0.00863374802847696	0.00863374802847696	0.00924909938278369	NA	NA	NA	NA	NA	0.988517606084281	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABTB2	Other	0.0951454717391056	0.0951454717391056	0.0950866563200536	NA	NA	NA	NA	NA	0.998892751907897	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACAA1	Other	-0.0557587811918404	-0.0557587811918404	-0.055734762269189	NA	NA	NA	NA	NA	0.999771912619526	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACAA2	Other	-0.0256485380072188	-0.0256485380072188	-0.0242984517906486	NA	NA	NA	NA	NA	0.982079295758556	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACACA	Other	0.0433401688256136	0.0433401688256136	0.0437272906409457	NA	NA	NA	NA	NA	0.995110465718883	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACACB	Other	-0.13387706924233	-0.13387706924233	-0.134057486018044	NA	NA	NA	NA	NA	0.982384083612129	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACAD10	Other	-0.0783068682029047	-0.0783068682029047	-0.0766593495523101	NA	NA	NA	NA	NA	0.98249825334432	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACAD11	Other	-0.0345463023439297	-0.0345463023439297	-0.0330935543774887	NA	NA	NA	NA	NA	0.985982075743158	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACAD9	Other	-0.0436917267399493	-0.0436917267399493	-0.0430239985538589	NA	NA	NA	NA	NA	0.995405496504795	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACADL	Other	0.0906932815901838	0.0906932815901838	0.0900293197872428	NA	NA	NA	NA	NA	0.989425768456647	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACADM	Other	0.105113130670552	0.105113130670552	0.10575489307766	NA	NA	NA	NA	NA	0.988880493213397	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACADS	Other	-0.229115858484116	-0.229115858484116	-0.227588267927883	NA	NA	NA	NA	NA	0.983760646160168	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACADSB	Other	-0.0773147833294922	-0.0773147833294922	-0.0753927189953681	NA	NA	NA	NA	NA	0.984518287523629	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACADVL	Other	0.0616460401888081	0.0616460401888081	0.0622879435343747	NA	NA	NA	NA	NA	0.9915428550988	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACAN	Other	0.0413096404198782	0.0413096404198782	0.0414737035078476	NA	NA	NA	NA	NA	0.998419722149154	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACAP1	Other	-0.0178382621469408	-0.0178382621469408	-0.0187926666568018	NA	NA	NA	NA	NA	0.994003035067122	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACAP2	Other	0.064284434446736	0.064284434446736	0.0643423662815514	NA	NA	NA	NA	NA	0.995640473714325	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACAP3	Other	-0.0054771517336251	-0.0054771517336251	-0.00697133667764525	NA	NA	NA	NA	NA	0.98430224869304	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACAT1	Other	0.0955931327848237	0.0955931327848237	0.0956799453331016	NA	NA	NA	NA	NA	0.99706878746673	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACAT2	Other	0.219226367979491	0.219226367979491	0.220303986592494	NA	NA	NA	NA	NA	0.977886020535208	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACBD3	Other	-0.0588497582529521	-0.0588497582529521	-0.0606362202486638	NA	NA	NA	NA	NA	0.98208703965665	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACBD4	Other	0.00134362158672878	0.00134362158672878	0.00136517163377833	NA	NA	NA	NA	NA	0.999014176913911	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACBD5	Other	0.0546041544524923	0.0546041544524923	0.0550878205719184	NA	NA	NA	NA	NA	0.990537753129852	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACBD6	Other	-0.082910844683268	-0.082910844683268	-0.0820996184669933	NA	NA	NA	NA	NA	0.989333507318934	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACBD7	Other	0.110577610827362	0.110577610827362	0.11136585700486	NA	NA	NA	NA	NA	0.986497470369231	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACCSL	Nonessential	0.00379424754952235	0.00379424754952235	0.00564996676176554	NA	NA	NA	NA	NA	0.986153290512073	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACD	Other	-0.238196952812578	-0.238196952812578	-0.235965408822679	NA	NA	NA	NA	NA	0.983227527436644	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACE	Other	0.0472783343698162	0.0472783343698162	0.0435559523513411	NA	NA	NA	NA	NA	0.981141769942644	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACE2	Other	0.0638977709626377	0.0638977709626377	0.0638045445413538	NA	NA	NA	NA	NA	0.991908647785594	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACER2	Other	0.0140017261365418	0.0140017261365418	0.0165398899219522	NA	NA	NA	NA	NA	0.986334079959711	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACER3	Other	0.0479758520127086	0.0479758520127086	0.0487791721501135	NA	NA	NA	NA	NA	0.990477477419168	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACHE	Other	-0.126174226117827	-0.126174226117827	-0.12577897790419	NA	NA	NA	NA	NA	0.989610718673425	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACIN1	Other	-0.038369141975972	-0.038369141975972	-0.0364743568837781	NA	NA	NA	NA	NA	0.985766025559803	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACKR1	Other	-0.0903905497152647	-0.0903905497152647	-0.0915542769430646	NA	NA	NA	NA	NA	0.991213160340604	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACKR2	Other	0.151266762703661	0.151266762703661	0.1517055143994	NA	NA	NA	NA	NA	0.98735742632305	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACKR3	Other	0.177380152770097	0.177380152770097	0.178711018834054	NA	NA	NA	NA	NA	0.986010460494246	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACKR4	Other	-0.146885423183703	-0.146885423183703	-0.148361685237272	NA	NA	NA	NA	NA	0.986139289559012	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACLY	Other	0.0563170399794406	0.0563170399794406	0.0570653061426687	NA	NA	NA	NA	NA	0.990277272989139	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACMSD	Other	0.0712241414997833	0.0712241414997833	0.0700945642114423	NA	NA	NA	NA	NA	0.990516743487906	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ACN9	Other	0.124660462097809	0.124660462097809	0.126163260224869	NA	NA	NA	NA	NA	0.984446204279616	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
